name,review,rating
Burger King Mongolia,eMart salbar chin yagad iim ontsgui ymbe? whopper dandaa garahgui bgaa geh ym deeres n sundae gargadaggui machine n bdaggui gj bga. tgd tnaihas zarlasan setnuud chin bnga bhgui bh ym! taalagdahgui bn mash olon udaa butsaj bn. orlogoo aldaj bgaga medej bga blguide...,1
Burger King Mongolia,Ta hed ter ketchup deer goroohoo bolildoo... dahiad avie gehleer uguhgui unen sanaa zovmoor. Buur neg olon ulsiin brand gutaachih yumaa.... Sauce yariaguishuu ketchup shuu.,1
Beer house,"Hool n amttai, piwo n songolt ihtei, amid hugjimtei, hotiin tuwd bairlaltai-dajgui gazar :)",4
Food park shangrila mall,"Although they serve quite tasty lunch menu, service was so slow, made us to wait an hour. Staff was so disrespectful to clients",2
Food park shangrila mall,Uuchlarai tnai kassnder suuj bga ohin yag yuve? Yamar aimar haritsaanii soyolgui buduuleg yum be. Hool idkej orsn bish bur nervtser bgad taarla. Ene huuhnee soliochee zavaarsin,1
Food park shangrila mall,Endii pizza-g udur bolgn ideed ch uidkumaa�. Uneheer setgel gargj udur bolgn shan hool beldj ugdug tanai hamt olond bayrlalaa. Ajliin amjilt husiy?￰ﾟﾖﾒ?￰ﾟﾖﾒ?,5
Food park shangrila mall,14300 iin cheyugbugim chine arai gomdmoor joohon yumaa. 100gr 1 od ch tanai uilchilgeenii chanart chin ihdeh ym bn.,1
Horned Owl Food Symphony,"Goy zuragnuud haraad nzuudiigaa urialaad ochson sanaa zovtol avsan. Tsuuhun hoolnii songolttoi, menu deerh hool, drink uudees talaas ih n garah bolomjgui. Orj suuchaad butsaad garahaas uur songolt bgagui. Decor bolon tavisan zuragnuudad muuhai huurtsan da �",2
Horned Owl Food Symphony,"Saikhan hooltoi uulchulgee sain bsan, taalagdsan taalagdsan?￰ﾟﾑﾏ?￰ﾟﾑﾏ?",5
Horned Owl Food Symphony,"Design, zurgnud zasaliin huwid yrih ymgui goy gazar bsn, uwurmuts dulaahan uur amisgaltai. Hool n dajgui, menun deerh zarim zuil n garah blmjgui gd bdg � Neg ymn muu coffeetoi gazar � Coffee tal dree anhaaraarai, udaan hadgalwal amtgui blcihdog 3 honood uldseniig n hayj bh hregtei.",3
Horned Owl Food Symphony,"Goy orching bvrdvvlsen, vilchilgee saitai goy gazar bnlee Aan bas tsag iin huwaari ni mash ih taalagdsan shvv ajliin amjilt hvsie���",5
Horned Owl Food Symphony,Goe zasalttai goe xuntei goe gazar bn ,5
Horned Owl Food Symphony,mash goy tohijilttoi tuhtai dulaan energytei shan gazar uilchilgee bol Best,5
Horned Owl Food Symphony,mash ih taalagdsan shvv gal togoogoo tohijuulhaar chine ochij goy hool idne <3 :),5
Horned Owl Food Symphony,Mashi ih talagdasan shvv mahan mash goe zolhon tsai irdeg ih talagdasan shvv ta bvhend ajilin amjilt hvsii,5
